# ion_class=Other, nodes=3216, copies_total=6527
node_id,name,ion_class,copies,unique_ids
87,267146_syn_ampa_dale-ID-1,Other,1,267146_syn_ampa_dale-ID-1
88,238332_MN_kFast-ID-1,Other,2,238332_MN_kFast-ID-1;267146_MN_kFast-ID-1
89,267146_syn_ampa_sat-ID-1,Other,1,267146_syn_ampa_sat-ID-1
90,267146_syn_ampa-ID-1,Other,1,267146_syn_ampa-ID-1
91,267146_syn_nmda_var-ID-1,Other,1,267146_syn_nmda_var-ID-1
92,267146_syn_ampa_std-ID-1,Other,1,267146_syn_ampa_std-ID-1
93,267146_syn_inh_mhr-ID-1,Other,1,267146_syn_inh_mhr-ID-1
94,267146_syn_nmda_std-ID-1,Other,1,267146_syn_nmda_std-ID-1
95,267146_syn_ampa_var-ID-1,Other,1,267146_syn_ampa_var-ID-1
96,267146_syn_nmda_sat-ID-1,Other,1,267146_syn_nmda_sat-ID-1
97,238332_MN_na-ID-1,Other,2,238332_MN_na-ID-1;267146_MN_na-ID-1
98,267146_dIN_kSlow-ID-1,Other,1,267146_dIN_kSlow-ID-1
99,267146_sin_clamp-ID-1,Other,1,267146_sin_clamp-ID-1
100,144549_stats-ID-1,Other,1,144549_stats-ID-1
101,144549_vecst-ID-1,Other,1,144549_vecst-ID-1
102,144549_misc-ID-1,Other,1,144549_misc-ID-1
103,144549_invlfire-ID-1,Other,1,144549_invlfire-ID-1
110,144385_cadiffus-ID-1,Other,4,144385_cadiffus-ID-1;116769_cadiffus-ID-1;157157_cadiffus-ID-1;231427_cadiffus-ID-1
111,123815_nmda-ID-1,Other,5,123815_nmda-ID-1;157157_nmda-ID-1;181967_nmda-ID-1;246546_nmda-ID-1;256311_nmda-ID-1
113,157157_IA-ID-1,Other,1,157157_IA-ID-1
114,157157_cad-ID-1,Other,1,157157_cad-ID-1
115,123815_burststim2-ID-1,Other,3,123815_burststim2-ID-1;154732_burststim2-ID-1;157157_burststim2-ID-1
117,123815_STDPE2Syn-ID-1,Other,4,123815_STDPE2Syn-ID-1;157157_STDPE2Syn-ID-1;246546_STDPE2Syn-ID-1;256311_STDPE2Syn-ID-1
118,20212_d3-ID-1,Other,16,20212_d3-ID-1;119266_d3-ID-1;144450_d3-ID-1;144490_d3-ID-1;143719_d3-ID-1;144089_d3-ID-1;144490_d3-ID-2;147757_d3-ID-1;151126_d3-ID-1;157157_d3-ID-1;206244_d3-ID-1;244416_d3-ID-1;256388_d3-ID-1;267599_d3-ID-1;267599_d3-ID-2;267140_d3-ID-1
119,157157_kapbru-ID-1,Other,1,157157_kapbru-ID-1
121,157157_kadbru-ID-1,Other,1,157157_kadbru-ID-1
124,20212_glutamate-ID-1,Other,3,20212_glutamate-ID-1;144490_glutamate-ID-1;157157_glutamate-ID-1
130,51781_ccanl-ID-1,Other,16,51781_ccanl-ID-1;64229_ccanl-ID-1;124513_ccanl-ID-1;97917_ccanl-ID-1;123815_ccanl-ID-1;155601_ccanl-ID-1;155602_ccanl-ID-1;149174_ccanl-ID-1;155568_ccanl-ID-1;151126_ccanl-ID-1;185355_ccanl-ID-1;181967_ccanl-ID-1;157157_ccanl-ID-1;256388_ccanl-ID-1;246546_ccanl-ID-1;256311_ccanl-ID-1
131,123815_regn_stim-ID-1,Other,3,123815_regn_stim-ID-1;181967_regn_stim-ID-1;157157_regn_stim-ID-1
134,123815_my_exp2syn-ID-1,Other,5,123815_my_exp2syn-ID-1;151126_my_exp2syn-ID-1;157157_my_exp2syn-ID-1;181967_my_exp2syn-ID-1;256388_my_exp2syn-ID-1
138,154732_nmdaca-ID-1,Other,2,154732_nmdaca-ID-1;157157_nmdaca-ID-1
139,144490_gabab-ID-1,Other,2,144490_gabab-ID-1;157157_gabab-ID-1
140,19746_ANsyn-ID-1,Other,8,19746_ANsyn-ID-1;123815_ANsyn-ID-1;151126_ANsyn-ID-1;181967_ANsyn-ID-1;157157_ANsyn-ID-1;256388_ANsyn-ID-1;246546_ANsyn-ID-1;256311_ANsyn-ID-1
141,20212_gabaa-ID-1,Other,4,20212_gabaa-ID-1;144490_gabaa-ID-1;157157_gabaa-ID-1;231427_gabaa-ID-1
148,157157_bistableGB_DOWNUP-ID-1,Other,1,157157_bistableGB_DOWNUP-ID-1
149,125745_ip3cum-ID-1,Other,1,125745_ip3cum-ID-1
150,125745_bkr-ID-1,Other,2,125745_bkr-ID-1;243508_bkr-ID-1
151,125745_cdp-ID-1,Other,1,125745_cdp-ID-1
152,251881_TC_HH-ID-1,Other,1,251881_TC_HH-ID-1
153,251881_TC_iL-ID-1,Other,1,251881_TC_iL-ID-1
154,251881_TC_Nap_Et2-ID-1,Other,1,251881_TC_Nap_Et2-ID-1
155,251881_SK_E2-ID-1,Other,2,251881_SK_E2-ID-1;264834_SK_E2-ID-1
156,251881_TC_Ih_Bud97-ID-1,Other,1,251881_TC_Ih_Bud97-ID-1
157,251881_TC_ITGHK_Des98-ID-1,Other,1,251881_TC_ITGHK_Des98-ID-1
158,251881_TC_cadecay-ID-1,Other,3,251881_TC_cadecay-ID-1;267589_TC_cadecay-ID-2;267589_TC_cadecay-ID-1
159,251881_TC_iA-ID-1,Other,3,251881_TC_iA-ID-1;267589_TC_iA-ID-2;267589_TC_iA-ID-1
160,137845_invlfire-ID-1,Other,1,137845_invlfire-ID-1
161,263988_gaines_sensory_stin-ID-10,Other,15,263988_gaines_sensory_stin-ID-10;263988_gaines_sensory_stin-ID-8;263988_gaines_sensory_stin-ID-11;263988_gaines_sensory_stin-ID-13;263988_gaines_sensory_stin-ID-6;263988_gaines_sensory_stin-ID-4;263988_gaines_sensory_stin-ID-14;263988_gaines_sensory_stin-ID-9;263988_gaines_sensory_stin-ID-12;263988_gaines_sensory_stin-ID-7;263988_gaines_sensory_stin-ID-3;263988_gaines_sensory_stin-ID-5;263988_gaines_sensory_stin-ID-1;263988_gaines_sensory_stin-ID-15;263988_gaines_sensory_stin-ID-2
162,263988_gaines_sensory_node-ID-13,Other,15,263988_gaines_sensory_node-ID-13;263988_gaines_sensory_node-ID-6;263988_gaines_sensory_node-ID-8;263988_gaines_sensory_node-ID-1;263988_gaines_sensory_node-ID-9;263988_gaines_sensory_node-ID-15;263988_gaines_sensory_node-ID-7;263988_gaines_sensory_node-ID-11;263988_gaines_sensory_node-ID-12;263988_gaines_sensory_node-ID-2;263988_gaines_sensory_node-ID-4;263988_gaines_sensory_node-ID-14;263988_gaines_sensory_node-ID-3;263988_gaines_sensory_node-ID-5;263988_gaines_sensory_node-ID-10
163,263988_gaines_sensory_flut-ID-4,Other,15,263988_gaines_sensory_flut-ID-4;263988_gaines_sensory_flut-ID-10;263988_gaines_sensory_flut-ID-1;263988_gaines_sensory_flut-ID-5;263988_gaines_sensory_flut-ID-13;263988_gaines_sensory_flut-ID-8;263988_gaines_sensory_flut-ID-2;263988_gaines_sensory_flut-ID-3;263988_gaines_sensory_flut-ID-9;263988_gaines_sensory_flut-ID-11;263988_gaines_sensory_flut-ID-12;263988_gaines_sensory_flut-ID-14;263988_gaines_sensory_flut-ID-15;263988_gaines_sensory_flut-ID-7;263988_gaines_sensory_flut-ID-6
